ID,Name,Website,Country,City,Founding Year,Enterprise Intell.,Enterprise Func.,Industry,Technology Type,URL,Lat,Lon,,,,,,
1,SupWiz,https://www.supwiz.com/,Denmark,Copenhagen,2017,Computer Linguistics,,Customer Service & Support,,https://www.supwiz.com/,55.67262276,12.55790781,,,,,,
2,unumed,http://unumed.com/,Denmark,Copenhagen,2016,,,Human health and social work activities,,http://unumed.com/,55.67791247,12.58799504,,,,,,
3,Sonar,"Get better insights, faster - AI Powered Customer Research Platform (sonarapp.com)",Denmark,Copenhagen,2021,,Research & Development,,Platform,"Get better insights, faster - AI Powered Customer Research Platform (sonarapp.com)",55.67071174,12.58172428,,,,,,
4,Nexta,Nexta I AI-driven Omnichannel I Digital Advertising I Danmark I Florida,Denmark,Copenhagen,2017,Discovery,Marketing,,,Nexta I AI-driven Omnichannel I Digital Advertising I Danmark I Florida,55.68977693,12.58945878,,,,,,
5,Dreamdata,Dreamdata | The Leading B2B Revenue Attribution Platform,Denmark,Copenhagen,2018,,Marketing,,,Dreamdata | The Leading B2B Revenue Attribution Platform,55.68006471,12.5793124,,,,,,
6,Q-Analytics,HOME (q-analytics.dk),Denmark,Allerød,2021,,,Cross Industry,,HOME (q-analytics.dk),55.87076357,12.35690626,,,,,,
7,Atlastic,Atlastic - Atlastic,Denmark,Copenhagen,2021,Computer Linguistics,,,,Atlastic - Atlastic,55.68326175,12.58129684,,,,,,
8,Atla ,Atla.ai,Denmark,Copenhagen,2018,,,"Professional, scientific and technical activities",,Atla.ai,56.14027201,10.19550557,,,,,,
9,Blackwood Seven,Improving Marketing Effectiveness - Blackwood Seven,Denmark,Copenhagen,2013,Forecasting,Marketing,,,Improving Marketing Effectiveness - Blackwood Seven,55.69719693,12.58766897,,,,,,
10,Droids Agency,Hjem (droidsagency.com),Denmark,Copenhagen,2017,,Cross-functional,,,Hjem (droidsagency.com),55.66254252,12.5861956,,,,,,
11,Kaunt,Welcome to Kaunt,Denmark,Aarhus,2019,,,Financial and insurance activities,,Welcome to Kaunt,55.67128164,12.58528662,56.16610713,10.21992958,,,,
12,Abzu,The next generation of AI is transparent and trustworthy | Abzu,Denmark,Copenhagen,2018,,Research & Development,,Frameworks,The next generation of AI is transparent and trustworthy | Abzu,55.71116047,12.59529838,,,,,,
13,Desupervised,Home page | Desupervised,Denmark,Copenhagen,2018,,,Cross Industry,,Home page | Desupervised,55.70967814,12.58549218,,,,,,
14,Neurospace,neurospace,Denmark,Aarhus,2019,Forecasting,,Manufacturing,,neurospace,56.17038356,10.20700087,,,,,,
15,Dueval,Home | Dueval,Denmark,Copenhagen,2016,Discovery,,,,Home | Dueval,56.17038356,10.20700087,"København, DK",,,,,
16,Alvenir,Home | My Site (alvenir.ai),Denmark,Copenhagen,2021,Computer Audition,,,,Home | My Site (alvenir.ai),55.78383757,12.51919566,,,,,,
17,Sentispec,sentispec – AI Business Automation,Denmark,Vejle,2020,Robotics,Production,,,sentispec – AI Business Automation,55.78383757,12.51919566,"Strandvejen 7120, Vejle, DK",,,,,
18,Silvi.ai,Silvi.ai | Meta-analysis software,Denmark,Copenhagen,2019,Computer Linguistics,,"Professional, scientific and technical activities",,Silvi.ai | Meta-analysis software,55.66253042,12.58603467,,,,,,
19,Pufin ID,Pufin ID | Homepage,Denmark,Copenhagen,2019,,SCM & Distribution,,,Pufin ID | Homepage,55.71574623,12.54917049,,,,,,
20,QAMPO,QAMPO - Det handler om at træffe flere rigtige beslutninger,Denmark,Aarhus,2014,Forecasting,,Cross Industry,,QAMPO - Det handler om at træffe flere rigtige beslutninger,56.1796824,10.1321827,55.69891399,12.53387021,,,,
21,2021.ai,2021.AI - The Enterprise AI Company,Denmark,Copenhagen,2016,,,,Platform,2021.AI - The Enterprise AI Company,55.69038518,12.56396521,,,,,,
22,Halfspace,"Home | Halfspace - A Copenhagen based Data, Analytics & AI Consultancy",Denmark,Copenhagen,2015,,Operations,,,"Home | Halfspace - A Copenhagen based Data, Analytics & AI Consultancy",55.68534023,12.58697797,,,,,,
23,Datapult,Datapult - AI and ML Consultancy,Denmark,Copenhagen,2018,,Cross-functional,,,Datapult - AI and ML Consultancy,55.71574018,12.54905247,,,,,,
24,Ambolt,Ambolt - We use technology to empower people,Denmark,Aalborg,2016,,,,Platform,Ambolt - We use technology to empower people,57.04871427,9.924905556,,,,,,
25,Computas Danmark,Front page | Computas,Denmark,Copenhagen,2018,,,Cross Industry,,Front page | Computas,55.67027615,12.53828084,59.91346559,10.7415186,63.43139046,10.40097583,44.47847129,26.1030035
26,Pluto Technologies,Pluto Technologies,Denmark,Copenhagen,2018,Computer Vision,,,,Pluto Technologies,55.67027615,12.53828084,,,,,,
27,Edaptio,Edaptio LearnU - Online Learning Platform For Teachers,Denmark,Copenhagen,2019,,,Education,,Edaptio LearnU - Online Learning Platform For Teachers,55.69822061,12.54061772,,,,,,
28,Hero,https://heroapp.ai/,Denmark,Copenhagen,2017,Computer Linguistics,,Information and communication,,https://heroapp.ai/,55.67638972,12.59448957,,,,,,
29,Acumex,Home | Acumex | Copenhagen,Denmark,Copenhagen,2014,,Purchasing and Procuremen,,,Home | Acumex | Copenhagen,55.65394861,12.60210058,,,,,,
30,Cludo,Cludo: Search Made Easy for You and Your End Users,Denmark,Copenhagen,2015,Discovery,Marketing,,,Cludo: Search Made Easy for You and Your End Users,55.64747949,12.54368003,51.52078115,-0.122220531,44.98063244,-93.26674993,,
31,Corti,AI for Patient Consultations (corti.ai),Denmark,Copenhagen,2014,Computer Audition,,Human health and social work activities,,AI for Patient Consultations (corti.ai),55.68147491,12.58896982,,,,,,
32,Ento Labs,Home | Ento Labs - AI Energy & Climate Optimization,Denmark,Aarhus,2019,Forecasting,,,Applications,Home | Ento Labs - AI Energy & Climate Optimization,56.1488202,10.20576254,,,,,,
33,Enversion,Elevating Well-being for Citizens and Professionals - Enversion.com,Denmark,Aarhus,2009,,,Human health and social work activities,,Elevating Well-being for Citizens and Professionals - Enversion.com,55.67148019,12.58520957,,,,,,
34,Forecast,https://www.forecast.app/,Denmark,Copenhagen,2016,Forecasting,,Administrative and support service activities,,https://www.forecast.app/,56.16610713,10.21992958,,,,,,
35,Grazper,Grazper - 3D Visualisation using Artificial Intelligence,Denmark,Copenhagen,2015,Computer Vision,,,,Grazper - 3D Visualisation using Artificial Intelligence,55.68544686,12.58889567,,,,,,
36,Hypefactors,https://hypefactors.com/,Denmark,Copenhagen,2015,,Marketing,,Applications,https://hypefactors.com/,55.68357813,12.58128547,,,,,,
37,Paperflow,Frontpage - Paperflow,Denmark,Copenhagen,2015,Accounting & Finance,Accounting & Finance,,,Frontpage - Paperflow,55.67722862,12.58688104,,,,,,
38,Valuer.ai,Valuer | An innovation search and discovery platform powered by AI,Denmark,Copenhagen,2018,Discovery,Purchasing and Procuremen,,,Valuer | An innovation search and discovery platform powered by AI,55.69464724,12.58667567,55.71392568,9.530198642,,,,
39,Veo,Veo │ Sports Camera,Denmark,Copenhagen,2015,Computer Vision,,,Infrastructure,Veo │ Sports Camera,55.70706346,12.56176801,51.50276569,-0.01947640865,,,,
40,Todai,Kunstig intelligens til alle - TodAI A/S,Denmark,Copenhagen,2020,,,Cross Industry,,Kunstig intelligens til alle - TodAI A/S,55.67450953,12.56009658,,,,,,
